,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,venue.id,name,Address,city,state,postalCode,lat,lng,Price,Rating
0,0,0,0,597d01202e268057bc8aa4e1,Taj Indian Cuisine,1879 Black Rock Tpke,Fairfield,CT,6825.0,41.1798726,-73.24788709999999,Moderate,
1,1,1,1,4b49437af964a520d76b26e3,Sweet Basil,284 Black Rock Tpke,Fairfield,CT,6825.0,41.16404121,-73.23298202,Moderate,
2,2,2,2,58e365b90e0a1e1b3cb16259,Tasty Halal,988 State St,Bridgeport,CT,6605.0,41.17265789,-73.20295841,Moderate,
3,3,3,3,4b469ab0f964a520572526e3,Bangalore Restaurant & Bar,1342 Kings Highway Cutoff,Fairfield,CT,6824.0,41.14911644,-73.24588507,Moderate,6.6
4,4,4,4,4ee7cfe3e300898eefd50e81,Talha Restaurant/ International Halal Food,,,Connecticut,6606.0,41.20567853,-73.22145404,Moderate,
5,5,5,5,5d5df540ab9ab00008d545e8,Zaffran,1055 Huntington Tpke,Bridgeport,CT,6610.0,41.222347,-73.168922,Moderate,
6,6,6,6,4b40d923f964a52024bc25e3,Bonani Indian Kitchen,2090 Black Rock Tpke,Fairfield,CT,6825.0,41.18152509,-73.25103979999999,Moderate,
7,7,7,7,58487257f9edc55a24e7b25b,Ami's Chaatwala,2985 Fairfield Ave,Bridgeport,CT,6605.0,41.15600000000001,-73.22849000000002,Moderate,
8,8,8,8,5120aa0fe4b0b8daedd6422b,pnk indian Muslim Food,Blk 55,Fairfield,CT,6824.0,41.14200592,-73.2589035,Moderate,
9,9,9,0,5207cbac11d263e52f2eb781,Tikkaway Grill,135 Orange St,New Haven,CT,6510.0,41.30560503,-72.92403813,Cheap,8.6
10,10,10,1,4b05867bf964a520a86322e3,Tandoor,1226 Chapel St,New Haven,CT,6511.0,41.3092461,-72.93548119,Moderate,8.7
11,11,11,2,4ba7992ff964a520f3a039e3,Sitar Indian Restaurant,45 Grove St,New Haven,CT,6511.0,41.30993762,-72.92104648,Moderate,7.8
12,12,12,3,5c992276bcbf7a002caf3a81,Sherkaan Indian Street Food,65 Broadway,New Haven,CT,6511.0,41.3119917,-72.9306692,Moderate,8.0
13,13,13,4,4b05867bf964a520a36322e3,Consiglio's Restaurant,165 Wooster St,New Haven,CT,6511.0,41.30294345,-72.91715017,Moderate,7.9
14,14,14,5,4b05867af964a520946322e3,Adrianas Restaurant,771 Grand Ave,New Haven,CT,6511.0,41.30828106,-72.91510818,Moderate,8.7
15,15,15,6,4d0011f6ffcea1432c1b2b91,Brazi's Italian Restaurant,201 Food Terminal Plz,New Haven,CT,6511.0,41.29355245,-72.92120151,Expensive,7.2
16,16,16,7,4b9e6fc0f964a520a5e336e3,Yale New Haven Food Carts,Cedar St.,New Haven,CT,6520.0,41.302989200000006,-72.93413259999998,Cheap,8.5
17,17,17,8,4b05867af964a520926322e3,Tre Scalini Ristorante,100 Wooster St,New Haven,CT,6511.0,41.30257354,-72.91482352,Expensive,7.6
18,18,18,0,4abbb7ddf964a5208f8420e3,Coromandel Cuisine of India,68 Broad St,Stamford,CT,6901.0,41.05555263,-73.54043365,Moderate,8.0
19,19,19,1,4bbd01d3593fef3b11ef0256,Navaratna,133 Atlantic St,Stamford,CT,6901.0,41.05340239,-73.5394449,Moderate,7.6
20,20,20,2,589f6abd92789f6a81075c90,Chutni Biryani & Noodle Bar,211 Main St,Stamford,CT,6901.0,41.0529,-73.54179,Moderate,7.6
21,21,21,3,535b0a4d498e1db61f999046,Tangra Biryani Point,498 Glenbrook Rd,Stamford,CT,6906.0,41.070254,-73.520566,Moderate,6.9
22,22,22,4,53d19c6c498e565806c2d4b1,Kati 'n' More,80 Atlantic St,Stamford,CT,6901.0,41.05405111,-73.53934829,Moderate,6.9
23,23,23,5,4ac38b2ff964a520bb9b20e3,Tawa Indian Cuisine,487 Glenbrook Road,Stamford,CT,6906.0,41.070084,-73.520074,Expensive,6.8
24,24,24,6,5cc2bcff4c9be6002c84b3bd,Dhabewala Indian Shack,13 High Ridge Rd,Stamford,CT,6905.0,41.072204,-73.548716,Moderate,
25,25,25,7,4b370132f964a520f63e25e3,Coromandel Cuisine of India,25 Old Kings Hwy N,Darien,CT,6820.0,41.07819960000001,-73.4657647,Expensive,7.9
26,26,26,8,50c77029e4b09076e33114e4,The Mumbai Times,140 E Putnam Ave,Cos Cob,CT,6807.0,41.0376243,-73.60033742,Moderate,7.8
27,27,27,0,4b5b77fbf964a520890029e3,Royal Masala Restaurant & Bar,391 Main St,Hartford,CT,6106.0,41.76087968,-72.67523087,Moderate,6.7
28,28,28,1,4ca8fd55f47ea1435ee77a21,Cosmos International Imported Foods,770 Farmington Ave,West Hartford,CT,6119.0,41.76512145,-72.72561248,,7.9
29,29,29,2,585f2a8e102f476eda39f401,India,54 Memorial Rd,West Hartford,CT,6107.0,41.759689,-72.73955500000002,Moderate,7.3
30,30,30,3,4bb290ea35f0c9b6c57abb83,Taste Of India,139 S Main St,West Hartford,CT,6107.0,41.75256998,-72.74396170000001,Moderate,7.1
31,31,31,4,5d38b28d34b80800084046cc,Spice Venue,81 Asylum St,Hartford,CT,6103.0,41.766583000000004,-72.674922,Moderate,
32,32,32,5,59cd7c1e1acf1150efbfadfa,dhaba wala,49 Asylum St,Hartford,CT,6103.0,41.766583000000004,-72.674922,Moderate,
33,33,33,6,4f32041c19833175d609fa17,McGregor's Jamaican Restaurant,304 Albany Ave,Hartford,CT,6120.0,41.776891,-72.681676,Moderate,
34,34,34,7,5c32c6852619ee002cb914d0,Hfc Chicken And Pizza,271 Farmington Ave,Hartford,CT,6105.0,41.767345,-72.697716,,
35,35,35,8,4e94d10bb634aae40aba262e,Nirvana Indian Cuisine,280 Park Rd,West Hartford,CT,6119.0,41.7569313,-72.72696686,Moderate,
36,36,36,0,5a6927c1a423627235c97581,Muyuri Indian Bistro,1249 W Main St Ste 10,Waterbury,CT,6708.0,41.551608,-73.063149,Moderate,
37,37,37,1,4db0c4e40437a93f7f7afda5,Shahi Zaika,102 Store Ave,Waterbury,CT,6705.0,41.55239822,-73.00983629,Moderate,
38,38,38,2,4c16aa216470a593bc2e57d2,Namaste India,151 Queen St,Southington,CT,6489.0,41.62086475,-72.87302812,Moderate,7.4
39,39,39,3,4f7b6ddf003940840da58682,Tabaq Masala Restaurant & Banquet Hall,1843 N Broad St,Meriden,CT,6450.0,41.56730345,-72.77274754,Moderate,8.1
40,40,40,4,53d581c5498e67ffa9b1704e,Zaika Indian Cuisine,565 Washington Ave,North Haven,CT,6473.0,41.419377000000004,-72.84109699999998,Moderate,7.1
41,41,41,5,4d32266d72a8b1f708719bd0,Cumin India,262 Skiff St,Hamden,CT,6517.0,41.37126068,-72.90644501,Moderate,7.0
42,42,42,6,4b05867bf964a520a86322e3,Tandoor,1226 Chapel St,New Haven,CT,6511.0,41.3092461,-72.93548119,Moderate,8.7
43,43,43,7,4df243bd52b100c2d7f5d3f9,Kerala Cookhouse,198 W Main St,Plainville,CT,6062.0,41.66944885,-72.88011169,Moderate,
44,44,44,0,4e3b2d97fa764553759a34e1,Saffron Indian Cuisine,333 Westport Ave,Norwalk,CT,,41.12569676,-73.39334141,Moderate,7.4
45,45,45,1,4baa3f12f964a52055573ae3,Veda - Indian Cuisine,388 Westport Ave,Norwalk,CT,6851.0,41.12569910000001,-73.39050565,,
46,46,46,2,4e0a859962846ae661cdfa52,Paradise Biryani Pointe,280 Connecticut Ave,Norwalk,CT,6854.0,41.10270319,-73.43596452,,
47,47,47,3,4d9cc2fca695721e4c6e020d,Patel Brothers,330 Connecticut Ave,Norwalk,CT,6854.0,41.10301936,-73.43685748,,
48,48,48,5,4d39e32917312c0fc97029f2,The Mumbai Times,616 Post Rd E,Westport,CT,6880.0,41.13845827,-73.34421745,,
49,49,49,6,4e2975bc922edde96620adf8,Mumbai Rasoi,430 Main Ave,Norwalk,CT,6851.0,41.14800443,-73.42607671,,
50,50,50,7,4ba8f0cef964a52018fc39e3,Bonani Indian Kitchen,115 New Canaan Ave,Norwalk,CT,6850.0,41.127357,-73.43447900000002,,
51,51,51,8,4f973acbe4b08e75f37a16bd,Papadum,5 Bridge Sq,Westport,CT,6880.0,41.12231064,-73.37024689,,
52,52,52,0,4b9e768ff964a52010e636e3,Royal Guard Fish & Chips,389 Main St,Danbury,CT,6810.0,41.40169834,-73.45863363,,
53,53,53,1,5230b57f2fc6eb59304a0e8b,Bombay Express,5 Padanaram Rd,Danbury,CT,6811.0,41.41447317,-73.45861699,,
54,54,54,2,4cdf340bf8a4a143c8d6dcbc,Kabab Grill,35 White St,Danbury,CT,6810.0,41.397659999999995,-73.45194000000002,,
55,55,55,3,578526fd498eeb0fc6c0daa1,Zaytuna,,Danbury,CT,,41.402105999999996,-73.458686,,
56,56,56,4,544e7a6f498e3d74849ee4fe,Fiza - Bangladeshi - Indian Cuisine,,Danbury,CT,,41.4021582,-73.4586285,,
57,57,57,5,51952824498e96dc05556673,Kabab & Curry,"35 White St, #4",Danbury,CT,6810.0,41.397372999999995,-73.45150100000002,,
58,58,58,6,53c16789498eecb3e8915e5a,MangoTreeFoods,39A Padanaram Rd,Danbury,CT,6811.0,41.41830444,-73.46360016,,
59,59,59,7,5c6b14ed2bf29b002d7eca87,Spice Indian Cuisine And Bar,25 Grassy Plain St,Bethel,CT,6801.0,41.376948,-73.425777,,
60,60,60,8,4bb7dc3798c7ef3b727d3002,Mysore Palace,54 Pembroke Rd,Danbury,CT,6811.0,41.44439725,-73.47290365,,
61,61,61,0,4b3e9a69f964a5209a9f25e3,Bombay Olive,450 S Main St,West Hartford,CT,6110.0,41.73181511,-72.74301096,,
62,62,62,1,4f7b6ddf003940840da58682,Tabaq Masala Restaurant & Banquet Hall,1843 N Broad St,Meriden,CT,6450.0,41.56730345,-72.77274754,,
63,63,63,4,585f2a8e102f476eda39f401,India,54 Memorial Rd,West Hartford,CT,6107.0,41.759689,-72.73955500000002,,
64,64,64,5,582dabef48457f026ef593ba,Himalaya Restaurant,1211 Farmington Ave,Berlin,CT,6037.0,41.628343,-72.755309,,
65,65,65,6,4c826443dc018cfacf7bce6c,Roti Boti,2103 N Broad St,Meriden,CT,6450.0,41.57440175,-72.76935067,,
66,66,66,7,59e2c442dd844242749b835c,Bhog,,Rocky Hill,CT,6067.0,41.659478,-72.67915699999998,,
67,67,67,0,585f2a8e102f476eda39f401,India,54 Memorial Rd,West Hartford,CT,6107.0,41.759689,-72.73955500000002,,
68,68,68,1,4b3e9a69f964a5209a9f25e3,Bombay Olive,450 S Main St,West Hartford,CT,6110.0,41.73181511,-72.74301096,,
69,69,69,2,4bb290ea35f0c9b6c57abb83,Taste Of India,139 S Main St,West Hartford,CT,6107.0,41.75256998,-72.74396170000001,,
70,70,70,3,4ca8fd55f47ea1435ee77a21,Cosmos International Imported Foods,770 Farmington Ave,West Hartford,CT,6119.0,41.76512145,-72.72561248,,
71,71,71,4,4c01a1371747a5935cd85dca,Naatiya,8 Mountain Rd,Bloomfield,CT,,41.83189034,-72.73946132,,
72,72,72,5,4b5b77fbf964a520890029e3,Royal Masala Restaurant & Bar,391 Main St,Hartford,CT,6106.0,41.76087968,-72.67523087,,
73,73,73,7,4ba7bb58f964a52014ae39e3,India Oven,280 Park Rd,West Hartford,CT,6119.0,41.7569313,-72.72696686,,
74,74,74,8,4b528c76f964a520e18127e3,Shish Kabab House Of Afganistan,36 Lasalle Rd,West Hartford,CT,6107.0,41.76038852,-72.74430748,,
75,75,75,0,58e8d4c5fc73d405a2967336,India Avenue,249 Railroad Ave,Greenwich,CT,6830.0,41.02168091,-73.63037914,,
